12/31/17,Donas,Dona Cookies &Cream,1
12/31/17,Donas,Dona Nutella,1
12/31/17,Donas,Dona de Menta,1
12/31/17,Donas,Dona de chocolate,1
12/31/17,Donas,Dona Espolvoreada,1
12/31/17,Donas,Dona maple con tocino,1
12/31/17,Donas,Dona maple con tocino,1
12/31/17,Donas,Dona Pie de Limon,1
12/31/17,Donas,Dona Espolvoreada,2
12/31/17,Donas,Dona de chocolate,1
12/31/17,Donas,Dona Crema Irlandesa,1
12/31/17,Donas,Dona maple con tocino,1
12/31/17,Donas,Dona Crema Irlandesa,1
12/31/17,Donas,Dona Cookies &Cream,1
12/31/17,Donas,Dona Espolvoreada,1
12/31/17,Donas,Dona maple con tocino,2
12/31/17,Donas,Dona Crema Irlandesa,1
12/31/17,Donas,Dona de Menta,1
12/31/17,Donas,Dona Nutella,1
12/31/17,Donas,Dona maple con tocino,1
12/31/17,Donas,Dona Nutella,1
12/31/17,Donas,Dona Pie de Limon,1
12/31/17,Donas,Dona de Menta,1
12/31/17,Donas,Dona de chocolate,1
12/31/17,Donas,Dona Crema Irlandesa,1
12/31/17,Donas,Dona maple con tocino,1
12/31/17,Donas,Dona de chocolate,1
12/31/17,Otros,Caja Dona 6 Pzas,1
12/31/17,Donas,Dona de Menta,1
12/31/17,Donas,Dona de chocolate,1
12/31/17,Donas,Dona Crema Irlandesa,1
12/31/17,Donas,Dona Cookies &Cream,1
12/31/17,Donas,Dona maple con tocino,1
12/31/17,Donas,Dona de Menta,1
12/31/17,Donas,Dona maple con tocino,1
12/31/17,Donas,Dona Espolvoreada,1
12/31/17,Donas,Dona Pie de Limon,1
12/31/17,Donas,Dona maple con tocino,1
12/31/17,Donas,Dona Nutella,1
12/31/17,cafe ,cafe Capuchino,3
12/31/17,cafe ,cafe Americano,1
12/31/17,Donas,Dona de chocolate,1
12/31/17,Donas,Dona Nutella,5
12/31/17,Donas,Dona Cookies &Cream,2
12/31/17,Donas,Dona Espolvoreada,1
12/31/17,cafe ,cafe Capuchino,1
12/31/17,cafe ,cafe Espresso,1
12/31/17,Donas,Dona Espolvoreada,1
12/31/17,cafe ,cafe Capuchino,1
12/31/17,cafe ,cafe Americano,1
12/31/17,Donas,Dona Espolvoreada,1
12/29/17,Otros,Caja Dona 6 Pzas,2
12/29/17,Donas,Dona maple con tocino,1
12/29/17,Donas,Dona Cookies &Cream,1
12/29/17,Donas,Dona de chocolate,1
12/29/17,Donas,Dona Te chaí,1
12/29/17,Otros,Caja Dona 6 Pzas,2
12/29/17,Donas,Dona de chocolate,2
12/29/17,Donas,Dona maple con tocino,1
12/29/17,Donas,Dona Crema Irlandesa,1
12/29/17,Otros,Caja Dona 6 Pzas,1
12/29/17,Donas,Dona Nutella,1
12/29/17,Otros,Caja Dona 6 Pzas,2
12/29/17,cafe ,cafe Americano,1
12/29/17,Donas,Dona Nutella,1
12/29/17,Donas,Dona de chocolate,1
12/29/17,Donas,Dona Nutella,1
12/29/17,cafe ,cafe Americano,1
12/29/17,Donas,Dona maple con tocino,1
12/29/17,Otros,Caja Dona 6 Pzas,1
12/29/17,Donas,Dona Cookies &Cream,1
12/29/17,Donas,Dona Nutella,2
12/29/17,Donas,Dona maple con tocino,1
12/29/17,Otros,Caja Dona 6 Pzas,1
12/28/17,Otros,Caja Dona 6 Pzas,1
12/28/17,Donas,Dona Espolvoreada,1
12/28/17,Donas,Dona Te chaí,1
12/28/17,Otros,Caja Dona 6 Pzas,1
12/28/17,cafe ,Chocolate Caliente,1
12/28/17,Otros,Caja Dona 6 Pzas,1
12/28/17,Donas,Dona maple con tocino,3
12/28/17,cafe ,cafe Americano,1
12/28/17,Donas,Dona Crema Irlandesa,1
12/28/17,Donas,Dona Nutella,1
12/28/17,cafe ,cafe Americano,1
12/28/17,Donas,Dona de chocolate,2
12/28/17,Donas,Dona Espolvoreada,2
12/28/17,Donas,Dona maple con tocino,2
12/28/17,Donas,Dona Cookies &Cream,2
12/28/17,Donas,Dona Nutella,2
12/28/17,Donas,Dona Crema Irlandesa,2
12/28/17,Donas,Dona Espolvoreada,1
12/28/17,Donas,Dona maple con tocino,1
12/28/17,Donas,Dona maple con tocino,1
12/28/17,Donas,Dona de chocolate,1
12/28/17,cafe ,cafe Capuchino,1
12/28/17,cafe ,cafe Latte,1
12/28/17,cafe ,cafe Americano,1
12/28/17,Donas,Dona maple con tocino,1
12/28/17,cafe ,cafe Americano,1
12/22/17,Donas,Dona maple con tocino,1
12/22/17,Donas,Dona Cotton Candy,1
12/22/17,cafe ,Chocolate Caliente,1
12/22/17,Donas,Dona maple con tocino,2
12/22/17,cafe ,Chocolate Caliente,2
12/22/17,Donas,Dona maple con tocino,1
12/22/17,Donas,Dona Cotton Candy,1
12/22/17,Donas,Dona Crema Irlandesa,1
12/22/17,Donas,Dona Nutella,1
12/22/17,Donas,Dona Espolvoreada,1
12/22/17,Donas,Dona de chocolate,1
12/22/17,Donas,Dona maple con tocino,1
12/22/17,Donas,Dona Nutella,1
12/22/17,cafe ,Chocolate Caliente,1
12/22/17,cafe ,Chocolate Caliente,1
12/22/17,Donas,Dona Nutella,1
12/22/17,Donas,Dona Cookies &Cream,1
12/22/17,Donas,Dona Nutella,2
12/22/17,Donas,Dona Cookies &Cream,1
12/22/17,Donas,Dona de Menta,1
12/22/17,Donas,Dona Crema Irlandesa,1
12/22/17,Donas,Dona maple con tocino,1
12/22/17,cafe ,cafe Espresso,1
12/22/17,cafe ,Chocolate Caliente,1
12/22/17,Donas,Dona Cotton Candy,2
